route_name,direction_id,direction_name,direction_do
230,0,Upper Lonsdale,0
230,1,Lonsdale Quay,1
231,0,Lonsdale Quay,0
231,1,Harbourside,1
232,0,Phibbs Exchange,0
232,1,Grouse Mountain,1
236,0,Grouse Mountain,0
236,1,Lonsdale Quay,1
240,0,Lynn Valley,0
240,1,Downtown,1
241,0,Upper Lonsdale,0
241,1,Downtown,1
245,0,Capilano University,0
245,1,Phibbs Exchange,1
246,0,Highland,0
246,1,Downtown,1
247,0,Grouse Mountain,0
247,1,Downtown,1
249,0,Delbrook,0
249,1,Lonsdale Quay,1
250,0,Vancouver,0
250,1,Dundarave/Horseshoe Bay,1
251,0,Park Royal,0
251,1,Queens,1
252,0,Park Royal,0
252,1,Inglewood,1
253,0,Park Royal/Vancouver,0
253,1,Caulfeild,1
254,0,British Properties,0
254,1,Park Royal/Vancouver,1
255,0,Capilano University,0
255,1,Dundarave,1
256,0,Whitby Estates,0
256,1,Park Royal,1
257,0,Vancouver,0
257,1,Horseshoe Bay,1
258,0,West Vancouver,0
258,1,UBC,1
262,0,Lions Bay/Brunswick,0
262,1,Caulfeild,1
280,0,Snug Cove,0
280,1,Bluewater,1
281,0,Eaglecliff,0
281,1,Snug Cove,1
282,0,Mt Gardner,0
282,1,Snug Cove,1
301,0,Newton Exchange,0
301,1,Brighouse Station,1
310,0,Scottsdale,0
310,1,Ladner,1
311,0,Bridgeport Station,0
311,1,Scottsdale,1
312,0,Scott Road Station,0
312,1,Scottsdale,1
314,0,Surrey Central Station,0
314,1,Scott & 96/Sunbury,1
316,0,Surrey Central Station,0
316,1,Scottsdale,1
319,0,Scott Road Station,0
319,1,Newton Exchange,1
320,0,Fleetwood/Langley Centre,0
320,1,Surrey Central Station,1
321,0,Surrey Central Station,0
321,1,White Rock Centre,1
322,0,Newton Exchange,0
322,1,Scottsdale,1
323,0,Surrey Central Station,0
323,1,Newton Exchange,1
324,0,Surrey Central Station,0
324,1,Newton Exchange,1
325,0,Surrey Central Station,0
325,1,Newton Exchange,1
326,0,Guildford,0
326,1,Surrey Central Station,1
329,0,Surrey Central Station,0
329,1,Scottsdale,1
335,0,Newton Exchange,0
335,1,Surrey Central Station,1
337,0,Fraser Heights,0
337,1,Surrey Central Station,1
340,0,Scottsdale,0
340,1,22nd St Station,1
341,0,Guildford,0
341,1,Newton Exchange,1
342,0,Langley Centre,0
342,1,Newton Exchange,1
345,0,King George Station,0
