direction,direction_id,route_id,route_short_name
EAST,0,6612,002
WEST,1,6612,002
NORTH,0,6613,003
SOUTH,1,6613,003
EAST,0,6614,004
WEST,1,6614,004
EAST,0,6615,005
WEST,1,6615,005
EAST,0,6616,006
WEST,1,6616,006
EAST,0,6617,007
WEST,1,6617,007
EAST,0,6618,008
WEST,1,6618,008
EAST,0,6619,009
WEST,1,6619,009
NORTH,0,6620,010
SOUTH,1,6620,010
EAST,0,16718,014
WEST,1,16718,014
NORTH,0,6621,015
SOUTH,1,6621,015
EAST,0,6622,016
WEST,1,6622,016
NORTH,0,6623,017
SOUTH,1,6623,017
EAST,0,6624,019
WEST,1,6624,019
NORTH,0,6625,020
SOUTH,1,6625,020
EAST,0,6626,022
WEST,1,6626,022
EAST,0,30055,023
WEST,1,30055,023
EAST,0,6627,025
WEST,1,6627,025
EAST,0,6628,026
WEST,1,6628,026
NORTH,0,6629,027
SOUTH,1,6629,027
NORTH,0,6630,028
SOUTH,1,6630,028
NORTH,0,6631,029
SOUTH,1,6631,029
NORTH,0,39304,031
SOUTH,1,39304,031
EAST,0,11201,033
WEST,1,11201,033
EAST,0,6633,041
WEST,1,6633,041
EAST,0,11202,042
WEST,1,11202,042
EAST,0,6635,044
WEST,1,6635,044
EAST,0,6636,049
WEST,1,6636,049
NORTH,0,6637,050
SOUTH,1,6637,050
NORTH,0,33538,068
SOUTH,1,33538,068
EAST,0,45596,080
WEST,1,45596,080
EAST,0,6638,084
WEST,1,6638,084
EAST,0,6641,099
WEST,1,6641,099
EAST,0,6642,100
WEST,1,6642,100
EAST,0,6643,101
WEST,1,6643,101
EAST,0,46099,102
WEST,1,46099,102
EAST,0,6790,103
WEST,1,6790,103
NORTH,0,6644,104
SOUTH,1,6644,104
EAST,0,6796,105
WEST,1,6796,105
EAST,0,6645,106
WEST,1,6645,106
NORTH,0,16719,109
SOUTH,1,16719,109
EAST,0,6646,110
WEST,1,6646,110
EAST,0,6647,112
WEST,1,6647,112
EAST,0,6648,116
WEST,1,6648,116
EAST,0,32799,119
WEST,1,32799,119
EAST,0,6649,123
WEST,1,6649,123
EAST,0,6662,128
WEST,1,6662,128
EAST,0,6650,129
WEST,1,6650,129
NORTH,0,6651,130
SOUTH,1,6651,130
EAST,0,6776,131
WEST,1,6776,131
NORTH,0,7322,132
SOUTH,1,7322,132
EAST,0,33292,133
WEST,1,33292,133
EAST,0,6652,134
WEST,1,6652,134
EAST,0,6654,136
WEST,1,6654,136
EAST,0,6656,143
WEST,1,6656,143
NORTH,0,6657,144
SOUTH,1,6657,144
NORTH,0,6658,145
SOUTH,1,6658,145
NORTH,0,6811,146
SOUTH,1,6811,146
EAST,0,6817,147
WEST,1,6817,147
EAST,0,6806,148
WEST,1,6806,148
NORTH,0,7509,150
SOUTH,1,7509,150
EAST,0,6659,151
WEST,1,6659,151
EAST,0,6660,152
WEST,1,6660,152
EAST,0,6661,153
WEST,1,6661,153
EAST,0,6663,155
WEST,1,6663,155
EAST,0,6664,156
WEST,1,6664,156
EAST,0,6665,157
WEST,1,6665,157
EAST,0,6666,159
WEST,1,6666,159
EAST,0,6667,160
WEST,1,6667,160
EAST,0,6668,169
WEST,1,6668,169
NORTH,0,30036,170
SOUTH,1,30036,170
EAST,0,30037,171
WEST,1,30037,171
EAST,0,30038,172
WEST,1,30038,172
EAST,0,30039,173
WEST,1,30039,173
EAST,0,30040,174
WEST,1,30040,174
EAST,0,30041,175
WEST,1,30041,175
NORTH,0,30042,179
SOUTH,1,30042,179
NORTH,0,30043,180
SOUTH,1,30043,180
NORTH,0,30044,181
SOUTH,1,30044,181
NORTH,0,30045,182
SOUTH,1,30045,182
EAST,0,30046,183
WEST,1,30046,183
NORTH,0,30047,184
SOUTH,1,30047,184
NORTH,0,30048,185
SOUTH,1,30048,185
NORTH,0,30049,186
SOUTH,1,30049,186
NORTH,0,30050,187
SOUTH,1,30050,187
EAST,0,22638,188
WEST,1,22638,188
NORTH,0,30051,189
SOUTH,1,30051,189
NORTH,0,30584,191
SOUTH,1,30584,191
EAST,0,16717,209
WEST,1,16717,209
NORTH,0,6672,210
SOUTH,1,6672,210
EAST,0,6673,211
WEST,1,6673,211
EAST,0,6674,212
WEST,1,6674,212
EAST,0,6675,214
WEST,1,6675,214
EAST,0,6780,215
WEST,1,6780,215
NORTH,0,39305,222
SOUTH,1,39305,222
NORTH,0,44595,226
SOUTH,1,44595,226
NORTH,0,22639,227
SOUTH,1,22639,227
NORTH,0,6676,228
SOUTH,1,6676,228
EAST,0,6677,229
WEST,1,6677,229
NORTH,0,6678,230
SOUTH,1,6678,230
EAST,0,18213,231
WEST,1,18213,231
EAST,0,6679,232
WEST,1,6679,232
NORTH,0,6680,236
SOUTH,1,6680,236
EAST,0,6682,240
WEST,1,6682,240
NORTH,0,6683,241
SOUTH,1,6683,241
EAST,0,39307,245
WEST,1,39307,245
NORTH,0,6685,246
SOUTH,1,6685,246
NORTH,0,6686,247
SOUTH,1,6686,247
NORTH,0,36799,249
SOUTH,1,36799,249
EAST,0,6687,250
WEST,1,6687,250
EAST,0,6688,251
WEST,1,6688,251
EAST,0,6689,252
WEST,1,6689,252
EAST,0,6690,253
WEST,1,6690,253
NORTH,0,6691,254
SOUTH,1,6691,254
EAST,0,6692,255
WEST,1,6692,255
NORTH,0,10232,256
SOUTH,1,10232,256
EAST,0,6693,257
WEST,1,6693,257
NORTH,0,6779,262
SOUTH,1,6779,262
EAST,0,6777,280
WEST,1,6777,280
NORTH,0,6778,281
SOUTH,1,6778,281
NORTH,0,34544,282
SOUTH,1,34544,282
EAST,0,6698,301
WEST,1,6698,301
EAST,0,6822,310
WEST,1,6822,310
NORTH,0,6699,311
SOUTH,1,6699,311
NORTH,0,6700,312
SOUTH,1,6700,312
EAST,0,6701,314
WEST,1,6701,314
NORTH,0,6702,316
SOUTH,1,6702,316
NORTH,0,6703,319
SOUTH,1,6703,319
EAST,0,6704,320
WEST,1,6704,320
NORTH,0,6705,321
SOUTH,1,6705,321
EAST,0,6821,322
WEST,1,6821,322
NORTH,0,6706,323
SOUTH,1,6706,323
NORTH,0,6707,324
